family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,oracle_K,gate_K,cv_K
additive,500,0.57847983121907,0.527770525159583,0.559990656627042,0.559990656627042,3,5,4.0
additive,500,0.68031782206895,0.620066727400828,0.68031782206895,0.617654899673378,3,5,3.0
additive,1000,0.721147022288419,0.690601668203143,0.690601668203143,0.71975568521349,2,1,1.0
additive,500,0.874619993919903,0.835346865549849,0.835346865549849,0.874619993919903,4,1,1.0
additive,500,0.836848784751565,0.836848784751565,0.822573628463906,0.811662744682319,1,1,3.0
additive,1000,0.892910431704713,0.892910431704713,0.859176339551533,0.847319195693661,2,2,5.0
additive,300,0.628332619974319,0.583411502814101,0.628332619974319,0.604845274429879,2,1,2.0
additive,300,0.697591504911898,0.697591504911898,0.624980123389995,0.616590943866453,1,1,3.0
additive,500,0.798763842750555,0.795037265769807,0.660181792538044,0.798763842750555,4,5,1.0
additive,300,0.790337630300628,0.772055996732222,0.748131840407511,0.748131840407511,5,2,4.0
additive,1000,0.831898453418042,0.803795964287433,0.803795964287433,0.831898453418042,4,5,5.0
additive,500,0.602901304231248,0.589698414032392,0.573788213495332,0.573788213495332,2,1,4.0
additive,500,0.727803780378038,0.727803780378038,0.696208120812081,0.70035903590359,1,1,5.0
additive,200,0.663367732786356,0.663367732786356,0.573929988329055,0.554020875690931,5,5,3.0
additive,1000,0.869763990114329,0.843394533676191,0.843494050494534,0.830234309598322,1,5,3.0
additive,1000,0.856227202397205,0.856227202397205,0.848547904595877,0.848547904595877,5,5,4.0
additive,200,0.491429285732143,0.491429285732143,0.491429285732143,0.487551188779719,1,1,1.0
additive,300,0.616265788094467,0.549235650187437,0.56525378974279,0.616265788094467,4,5,3.0
additive,300,0.685785512455174,0.562602559074027,0.685785512455174,0.685785512455174,4,5,4.0
additive,1000,0.91251776598939,0.756317685917326,0.907415173656291,0.907415173656291,2,1,4.0
additive,1000,0.906462406462407,0.88011588011588,0.84034234034234,0.843277343277343,3,5,2.0
additive,1000,0.773654462890166,0.773654462890166,0.744594701352312,0.726117535057816,5,5,1.0
additive,300,0.824420827119783,0.792998516749331,0.820630686586033,0.816632010809827,2,5,3.0
additive,300,0.771747674767477,0.586106610661066,0.671046104610461,0.771747674767477,4,5,1.0
additive,500,0.672120549084942,0.629201662814965,0.629201662814965,0.671040039360354,2,5,5.0
additive,500,0.699081199081199,0.699081199081199,0.617079617079617,0.672235672235672,5,5,3.0
additive,500,0.824597324597325,0.824597324597325,0.794664794664795,0.801805301805302,5,5,3.0
additive,500,0.776338133813381,0.766719671967197,0.776338133813381,0.776338133813381,4,5,4.0
additive,500,0.814289832788776,0.808140535908771,0.814289832788776,0.814289832788776,4,5,4.0
additive,1000,0.88035406650641,0.88035406650641,0.810793770032051,0.810793770032051,5,5,4.0
additive,1000,0.841004485453287,0.730535193402662,0.730535193402662,0.774171831673462,3,5,5.0
additive,200,0.629607004377736,0.56000550343965,0.55401976235147,0.629607004377736,4,5,2.0
additive,1000,0.777017493157438,0.777017493157438,0.763014867133804,0.755410298692688,5,5,3.0
additive,300,0.775878346146038,0.775878346146038,0.559935854804239,0.676368785871656,5,5,2.0
additive,300,0.757672436334783,0.757672436334783,0.703528323870837,0.703528323870837,5,5,4.0
additive,300,0.782572663499751,0.776156309173351,0.738639466805907,0.738639466805907,3,5,4.0
additive,500,0.925652435261559,0.925652435261559,0.87356463242288,0.87356463242288,5,5,4.0
additive,500,0.634152585765489,0.618097558243728,0.591582361271121,0.560802891385049,3,5,2.0
additive,200,0.725399369172271,0.712388672310704,0.707015232498932,0.71417131584502,5,1,2.0
additive,1000,0.896408816287983,0.841204471171787,0.871786958048499,0.871786958048499,3,5,4.0
additive,1000,0.893983893983894,0.878323378323378,0.868647368647369,0.887815387815388,3,5,2.0
additive,1000,0.851138979164979,0.816923090773233,0.836129641466384,0.830923636931073,3,2,1.0
additive,1000,0.791560997596154,0.755108173076923,0.75548828125,0.72634765625,2,1,5.0
additive,300,0.794582093391749,0.785865716953993,0.794582093391749,0.794582093391749,4,1,4.0
additive,300,0.819066776267105,0.788835155340621,0.819066776267105,0.805908723634895,1,2,1.0
