family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,vt_auc,oracle_method,gate_method,cv_method
radial,1000,0.821014554189628,0.821014554189628,0.821014554189628,0.726267250718289,0.821014554189628,6,6,6.0
linear,200,0.511664789366975,0.417601561913344,0.417601561913344,0.499559460338915,0.417601561913344,1,6,6.0
random,200,0.61598133248008,0.61598133248008,0.61598133248008,,0.61598133248008,6,6,6.0
linear,200,0.76341265993212,0.76341265993212,0.679393450045881,0.662722542565085,0.76341265993212,6,6,5.0
bump,500,0.912196514423077,0.884269330929487,0.903880709134615,0.903880709134615,0.753336338141026,2,5,4.0
enclave,300,0.831433655557159,0.831433655557159,0.831433655557159,,0.831433655557159,6,6,6.0
additive,500,0.692936131211578,0.664573794505635,0.664573794505635,0.616796774942367,0.664573794505635,2,6,6.0
bump,300,0.709300219816283,0.679050717829732,0.679050717829732,0.709300219816283,0.553978054390773,4,5,5.0
linear,300,0.955946594659466,0.904572457245725,0.921641164116412,0.941819181918192,0.886585658565857,1,5,3.0
bump,500,0.896490396490397,0.891650891650892,0.891650891650892,0.887171887171887,0.746385746385746,3,5,5.0
radial,500,0.714411954107893,0.679549554668523,0.679549554668523,0.567449015346298,0.679549554668523,1,6,6.0
cross,500,0.808597906830181,0.808597906830181,0.672738167804858,0.672738167804858,0.808597906830181,6,6,3.0
radial,300,0.729564417170685,0.610254289313156,0.569857390132194,0.569857390132194,0.610254289313156,5,6,4.0
enclave,300,0.716968317871521,0.54657798004551,0.54657798004551,0.716968317871521,0.54657798004551,4,6,6.0
cross,200,0.619357715133379,0.619357715133379,0.549333234713092,0.541330099411258,0.619357715133379,6,6,5.0
additive,1000,0.733895969342038,0.621952804979519,0.733895969342038,0.613760780689964,0.733895969342038,6,5,6.0
additive,1000,0.927077426793913,0.904433817257046,0.904433817257046,0.927077426793913,0.766912578716357,4,5,5.0
radial,500,0.615221671872481,0.615221671872481,0.56845101959913,0.545371725673162,0.615221671872481,6,6,5.0
enclave,200,0.718620706931536,0.560896816052506,0.677279490969213,0.648449109446629,0.560896816052506,3,6,1.0
bump,500,0.893572553824611,0.869509639668925,0.869509639668925,0.886016853792103,0.789030531869671,3,5,5.0
enclave,200,0.724582323612992,0.724582323612992,0.724582323612992,0.611556705994461,0.724582323612992,6,6,6.0
