family,n_train,b0,censoring,corr,overlap,prognostic_form,auc_K1,auc_K2,auc_K3,auc_K4,auc_K5,optimal_K,oracle_rate,feat_c_index,feat_score_skew,feat_score_kurt,feat_score_var,feat_score_q90_q10,feat_delta_c_index,feat_prop_interact_sig,feat_trt_main_p.trt01p,feat_te_bin_var,feat_te_slope,feat_te_quadratic_p,feat_te_max_diff,feat_te_bin_event_rate_range,feat_censoring_rate,feat_event_rate,feat_event_count_trt,feat_event_count_ctrl,feat_median_followup,feat_mean_followup,feat_n,feat_p,feat_e_per_p,feat_bootstrap_ci_sd,feat_bootstrap_ci_mean,feat_orig_pred_var,feat_orig_pred_mean,feat_orig_ambiguity,feat_K1_pred_var,feat_K1_pred_mean,feat_K1_ambiguity,feat_K2_pred_var,feat_K2_pred_mean,feat_K2_ambiguity,feat_K3_pred_var,feat_K3_pred_mean,feat_K3_ambiguity,feat_K4_pred_var,feat_K4_pred_mean,feat_K4_ambiguity,feat_K5_pred_var,feat_K5_pred_mean,feat_K5_ambiguity
cross,200,1.05,0.1,high,none,quadratic,0.926144777125275,0.907694497142541,0.939718735261358,0.769089812062839,0.87663999548358,3,0.6935,0.699001426533524,0.0258704479650385,3.33920267943099,0.865785980006284,-1.09599218284139,0.102608518443041,,1.82054646274422e-05,8.5039166207128,-2.8334516537129,0.166640983030796,6.81241367070244,0.04,0.02,0.98,94,102,2.44411755036438,3.48872524591752,200,52,3.76923076923077,0.0198437434119259,0.756836935969591,0.0483736777470802,0.731979993671547,0.1,0.033607921714793,0.750683074850909,0.1255,0.0326472719401732,0.745469169961541,0.1425,0.0341886708591807,0.747131787116518,0.106,0.0220604429553259,0.749031545068426,0.137,0.0278065333694885,0.740192766152993,0.145
cross,300,1.67,0.63,low,none,quadratic,0.912478304091458,0.898665576359577,0.902524742354823,0.894571914170385,0.876582849309138,1,0.523,0.681633098233113,0.173772349035477,3.52584339351143,0.793363956889478,-1.09605431706594,0.122700501708718,,0.0830592615012183,32.7744196473603,-5.87494809994351,0.371401377997048,12.742635004714,0.266666666666667,0.35,0.65,93,102,3.91731290054291,5.34337954795607,300,52,3.75,0.0232476123709722,0.742957593964585,0.140538419199399,0.589681843350503,0.0233333333333333,0.120927933418632,0.57454540320547,0.0465,0.106307242465539,0.586973354975507,0.1055,0.113505051592177,0.584059983966259,0.0715,0.111001729530027,0.580465654345011,0.072,0.12068678656698,0.571924652639694,0.065
cross,200,1.26,0.13,low,none,linear,0.723035944057626,0.834247267217432,0.896870778567449,0.90237292110105,0.946451691779806,5,0.523,0.76726830042873,0.0687855344360972,3.13795942821996,2.04243015518665,-1.03278345033611,0.0778065950351983,,0.0071605039523877,1.79152159919749,-0.710751722843636,0.982205949002122,2.44379669732334,0.12,0.0600000000000001,0.94,93,95,3.26238435599226,4.97044371662565,200,52,3.61538461538462,0.0148961571304332,0.810311087961515,0.086610873540059,0.608653907968912,0.065,0.0533257442152232,0.612382699222378,0.1975,0.0499781463973764,0.600359367826897,0.2525,0.0937255763799153,0.570086347954985,0.0975,0.112831228543233,0.555895718828004,0.069,0.106923392388543,0.573413455429544,0.0695
enclave,1000,1.9,0.67,low,partial,mixed,0.881567915666235,0.887642627256418,0.894243222857624,0.889513772651828,0.886472660542372,3,0.5205,0.674514167403177,0.115551837947708,2.81187356797769,0.358963313865789,-1.01799070267329,0.008324031591883,,0.0304776255353717,14.7690579899341,0.775400159012596,0.181989220040702,8.32314988107037,0.228,0.41,0.59,303,287,4.50481034770184,5.9160354067164,1000,52,11.3461538461538,0.0111969260079554,0.693410725031577,0.172199419342709,0.622576911344869,0.004,0.164621538071857,0.64949793036047,5e-04,0.14844402166226,0.662569977481913,0.031,0.157979552803748,0.641534728280848,0.0285,0.150193756823414,0.65438401953121,0.0165,0.151204163439578,0.651070255228045,0.0235
enclave,500,1.61,0.34,moderate,partial,mixed,0.80541049949001,0.87986254790854,0.86600372958413,0.86007653354874,0.87902474277781,2,0.5155,0.799451389779668,-0.0429540650741209,2.8640648216357,2.09596805635248,-1.12883526013474,0.0199907249351239,,8.60126999975491e-07,2.00861922047264,0.237812936151461,0.205686509522187,3.20516859416476,0.368,0.214,0.786,192,201,4.74078605413494,7.19821937405298,500,52,7.55769230769231,0.0118153252138045,0.812924211614993,0.123564135163961,0.622984705020556,0.068,0.101797992034848,0.628020167823124,0.1305,0.12981020806118,0.651490626290386,0.025,0.110915314379233,0.670154054319356,0.0905,0.128683033582608,0.639674609883532,0.0535,0.144466799076786,0.640671109415306,0.0165
enclave,1000,1.4,0.4,high,none,linear,0.883735209839964,0.881487382517423,0.894315695087507,0.878407520526429,0.877992016160555,3,0.5795,0.620374557806721,0.0265572926213017,3.12763235668128,0.218994814625467,-1.02467766264566,0.0191776210001607,,1.48861111571079e-24,2.95270254296004,-1.65353553064744,0.25906354478622,4.14420406148194,0.156,0.182,0.818,378,440,3.92841659142506,5.192379155858,1000,52,15.7307692307692,0.0117584956459721,0.640621413524072,0.12483367926807,0.705971762027645,0.026,0.123418443711548,0.709578243598817,0.0185,0.11971446702429,0.709485163083934,0.036,0.116137605471609,0.708554851814341,0.022,0.121783564565437,0.703493233032799,0.0085,0.121756101284834,0.700301838339189,0.0265
enclave,500,0.05,0.54,low,partial,linear,0.709202888984895,0.855489251312084,0.824590773809524,0.778997355830773,0.842403413818484,2,0.496,0.788426464713137,-0.0675853423413016,2.97703448859916,2.13531431761438,-0.938243981744387,0.0148599121085269,,4.98731458497551e-09,0.162587862523452,-0.251500634873256,0.239131116281773,0.920094603013134,0.248,0.1,0.9,220,230,1.00983679083234,1.64992057417375,500,52,8.65384615384615,0.00883611236802006,0.80454972276794,0.026439888951244,0.611362782496365,0.288,0.0223820161727778,0.614075669825998,0.284,0.0376968959691098,0.632745698779784,0.224,0.0346680137357746,0.640918883494725,0.1525,0.0460878417828714,0.642642478102423,0.211,0.0448101464167417,0.640553697580458,0.249
enclave,200,0.14,0.08,low,partial,quadratic,0.638699455292836,0.725698316186629,0.645925816835329,0.805542948912539,0.610283414032546,4,0.5215,0.66356783919598,0.00588959928491865,2.82028764979418,0.603822443461058,-0.967768949966171,0.109597989949749,,0.017207766604541,0.628149560182676,-0.888757641037134,0.495098575421449,1.64145576645577,0,0,1,110,90,0.728225119681719,1.16236871001428,200,52,3.84615384615385,0.0226865378511076,0.734137148556001,0.0191019979025649,0.663468548342479,0.38,0.0160784205326924,0.680741692518908,0.3145,0.0118387283457386,0.662478788808787,0.201,0.0179569613665405,0.670748015858278,0.3745,0.0199152739291725,0.672455443843591,0.3475,0.0209290426573417,0.663928118425906,0.3415
linear,300,1.45,0.37,low,none,quadratic,0.945767481705657,0.945836035451794,0.956614485756833,0.942060075098878,0.941034270868361,3,0.514,0.687591388090556,-0.0352783793299879,2.79765632681241,0.598278053582961,-0.997093246332523,0.0925729844199061,,0.819890904989126,13.8634260698827,-4.10629595375891,0.00317075353577938,8.04337240713044,0.0933333333333334,0.123333333333333,0.876666666666667,149,114,2.52485610320062,3.87327814533925,300,52,5.05769230769231,0.0193737164777535,0.728626400819761,0.0693368134277982,0.641915017202079,0.216666666666667,0.067758254191663,0.619499452401291,0.205,0.0874147845242627,0.597722717955503,0.0945,0.0765405669948147,0.609451250931198,0.141,0.0796808570050144,0.614565280997374,0.164,0.0731163158530892,0.614024170550254,0.071
linear,500,1.77,0.41,moderate,partial,quadratic,0.970866060603636,0.952567131750687,0.959030725955209,0.951197688050929,0.971097635633945,5,0.491,0.661523570394932,0.0458506878193511,3.06843413067107,0.588571007527905,-0.962513150798717,0.0931124038065302,,0.15238267918204,20.9918544087911,-5.20157523956773,0.0602545048804464,10.1811355011059,0.16,0.15,0.85,200,225,3.32942210452669,4.36259719196774,500,52,8.17307692307692,0.0134766261664997,0.688196639296018,0.100132600408601,0.596930385728944,0.076,0.0909679013688119,0.60628902950595,0.073,0.0988765439460281,0.58562223878955,0.0435,0.100287855608981,0.598862206405236,0.049,0.0921466962427342,0.594485962612283,0.1135,0.0902236977984058,0.595550105542126,0.0475
